dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),num_topics,Topic diversity(not optimized),Coherence(not optimized)
dataset_name,RF,LCB,0,136.49004530906677,0.5428247432385445,0.5418194879912395,0.0028534914005087534,20,0.16,-0.3879181072427278
dataset_name,RF,LCB,1,85.36019372940063,0.5385137045357179,0.5404307688611076,0.00324120420889729,10,0.3,-0.3838563017379567
dataset_name,RF,LCB,2,76.80639004707336,0.537240201763824,0.5425773662883726,0.006536664879213998,5,0.56,-0.37313386413185284
dataset_name,RF,LCB,3,379.73834896087646,0.5420379516237736,0.5420098968714584,0.0013404849822357908,30,0.1,-0.39002142404295637
dataset_name,RF,LCB,4,153.47771906852722,0.5431008293024033,0.5417493015608514,0.0025866539575813566,15,0.21333333333333335,-0.3883312109329187
dataset_name,RF,LCB,5,320.33940601348877,0.5401897492272714,0.5399991903319169,0.0011612151176524333,30,0.09333333333333334,-0.3895010909494755
dataset_name,RF,LCB,6,320.0715937614441,0.5409406860091696,0.5416979770366892,0.0023085670997249823,30,0.09666666666666666,-0.3898059766299931
dataset_name,RF,LCB,7,106.60733199119568,0.538513704535718,0.5391714893546657,0.0009362361143800763,10,0.3,-0.38160129793292197
dataset_name,RF,LCB,8,672.8233861923218,0.537846396820487,0.5379164576793023,0.0016601418518905045,50,0.054,-0.39294499230369867
dataset_name,RF,LCB,9,71.01730918884277,0.5468431322339679,0.5444979523824014,0.0060812518108258875,5,0.6,-0.38078024672904587
dataset_name,RF,LCB,10,234.4708788394928,0.5433184199679271,0.5433498971276994,0.0014996789742633696,25,0.124,-0.39021264246428855
dataset_name,RF,LCB,11,176.91239309310913,0.5398578804859648,0.5412639773094714,0.002463890779100082,20,0.155,-0.38772406754300376
dataset_name,RF,LCB,12,179.37995100021362,0.5460410107299588,0.5444575423228832,0.0031582585050135407,20,0.15,-0.3875103036677916
dataset_name,RF,LCB,13,214.94946813583374,0.5437554241983316,0.5424854050149301,0.0023096477503894396,20,0.16,-0.3893791103201414
dataset_name,RF,LCB,14,181.4608428478241,0.5421665639428946,0.5409895239441745,0.0021870202789648356,20,0.155,-0.38881565440960253
dataset_name,RF,LCB,15,187.46594214439392,0.5443394253579081,0.5437273576116496,0.0015455835411457763,20,0.155,-0.3889508171247244
dataset_name,RF,LCB,16,190.95497012138367,0.5441881727510721,0.5439959891365976,0.002083846585159895,20,0.155,-0.3898665805405116
dataset_name,RF,LCB,17,183.84691095352173,0.5413195738998507,0.5409266276123106,0.0007096478197839861,20,0.165,-0.3870422882169785
dataset_name,RF,LCB,18,188.7649211883545,0.5422333471485217,0.5425671250296178,0.004207942914620864,20,0.16,-0.38851023974161647
dataset_name,RF,LCB,19,254.11648106575012,0.5409032453029345,0.541287460732058,0.0011473859668190603,25,0.124,-0.39007159217695003
dataset_name,RF,LCB,20,157.58766222000122,0.5421086906098829,0.5417741723920726,0.003206862804520739,20,0.16,-0.3900633408659241
dataset_name,RF,LCB,21,89.87753224372864,0.537240201763824,0.5413012327335853,0.005367424981327228,5,0.56,-0.37313386413185284
