,topics,coherence(c_v),coherence(c_npmi),perplexity,topic_diversity
0,5,0.5936399568428234,0.00028777302906704864,-8.119957480403825,1.0
1,10,0.506780122840486,-0.04597201954430695,-8.187325834890359,1.0
2,15,0.49610594122104423,-0.017751036126389997,-8.78648081713221,1.0
3,20,0.4641775824154344,-0.034378686453646765,-9.049089985119453,0.995
4,25,0.44483240442322997,-0.028990466422899482,-9.249402823629694,1.0
5,30,0.42106583557189226,-0.052671912685643675,-9.483710719949924,0.9933333333333333
6,50,0.35315745951302296,-0.11813235711507084,-10.338983233272327,0.998
