dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,num_topics,Topic diversity(not optimized)
dataset_name,RF,LCB,0,803.5215699672699,0.5553324622120344,0.5553324622120344,0.0,0.4911868497913349,0.6888551943359122,30,1.0
dataset_name,RF,LCB,1,714.8331410884857,0.5831544879476429,0.5831544879476429,0.0,0.5969161720427683,0.39001138410270714,15,1.0
dataset_name,RF,LCB,2,704.4060122966766,0.5986874019646915,0.5986874019646915,0.0,0.8802066039911309,0.8266779107541796,30,1.0
dataset_name,RF,LCB,3,714.5501139163971,0.6134231899773989,0.6134231899773989,0.0,0.621890116959122,0.8486622490313771,25,1.0
dataset_name,RF,LCB,4,895.5101537704468,0.5634458422824307,0.5634458422824307,0.0,0.5730043046769663,0.2788386517390892,5,1.0
dataset_name,RF,LCB,5,1010.3643848896027,0.5930368948907639,0.5930368948907639,0.0,0.03179692160385154,0.6861761465619736,20,0.985
dataset_name,RF,LCB,6,610.4673821926117,0.5915432396555911,0.5915432396555911,0.0,0.852437229763274,0.6418855601485107,30,1.0
dataset_name,RF,LCB,7,676.9316308498383,0.5936234255782423,0.5936234255782423,0.0,0.8474553312880034,0.9279068645734386,15,1.0
dataset_name,RF,LCB,8,823.670343875885,0.6255101458142321,0.6255101458142321,0.0,0.6889658081210449,0.9559107279804403,10,1.0
dataset_name,RF,LCB,9,759.2702431678772,0.614280960202813,0.614280960202813,0.0,0.6335236238263314,0.9965116237647249,10,1.0
dataset_name,RF,LCB,10,706.9044680595398,0.551303871131451,0.551303871131451,0.0,0.40065427566122885,0.9042312562708362,25,1.0
dataset_name,RF,LCB,11,675.9860799312592,0.5960645370858264,0.5960645370858264,0.0,0.6113930683997311,0.9546752822852892,20,1.0
dataset_name,RF,LCB,12,945.0327570438385,0.5725285873009621,0.5725285873009621,0.0,0.6050178311114481,0.9499817793941803,5,1.0
dataset_name,RF,LCB,13,941.6628761291504,0.5725285873009621,0.5725285873009621,0.0,0.6099057426411683,0.9681988580646825,5,1.0
dataset_name,RF,LCB,14,813.6336529254913,0.6031221408179971,0.6031221408179971,0.0,0.6118661507124513,0.977461201132426,10,1.0
dataset_name,RF,LCB,15,826.2778601646423,0.6006789659569333,0.6006789659569333,0.0,0.6107484234434243,0.9709476673989601,10,1.0
dataset_name,RF,LCB,16,766.9791529178619,0.6158260077015628,0.6158260077015628,0.0,0.6103448795018092,0.3214274698631065,10,1.0
dataset_name,RF,LCB,17,797.9676961898804,0.6051636717218769,0.6051636717218769,0.0,0.6102696918501233,0.5737704765499853,10,1.0
dataset_name,RF,LCB,18,837.211827993393,0.6028915604354899,0.6028915604354899,0.0,0.6104727205073829,0.786737349045645,10,1.0
dataset_name,RF,LCB,19,742.1854100227356,0.6223728830721075,0.6223728830721075,0.0,0.7451444146174786,0.9555410554181983,10,1.0
dataset_name,RF,LCB,20,696.7360990047455,0.6186077635018943,0.6186077635018943,0.0,0.8316691482649159,0.957967174126572,10,1.0
dataset_name,RF,LCB,21,743.8464071750641,0.5875329659444049,0.5875329659444049,0.0,0.7713013185839398,0.9618985261632788,5,1.0
dataset_name,RF,LCB,22,638.0241153240204,0.6289679308348101,0.6289679308348101,0.0,0.8802472163779772,0.9573311528770766,10,1.0
dataset_name,RF,LCB,23,699.993264913559,0.6266990067995823,0.6266990067995823,0.0,0.8555818228094965,0.8815636883361716,10,1.0
dataset_name,RF,LCB,24,675.2995519638062,0.6220217608689458,0.6220217608689458,0.0,0.7411369448927639,0.929069322543323,10,1.0
dataset_name,RF,LCB,25,648.66153216362,0.6251270856615977,0.6251270856615977,0.0,0.8725015432233105,0.6723606878516031,10,1.0
dataset_name,RF,LCB,26,693.5915539264679,0.6246030200382809,0.6246030200382809,0.0,0.8441284837096621,0.4784364250605144,10,1.0
dataset_name,RF,LCB,27,768.8466730117798,0.6251270856615977,0.6251270856615977,0.0,0.8507718086304685,0.6085559538006255,10,1.0
dataset_name,RF,LCB,28,678.5369091033936,0.6078131209484311,0.6078131209484311,0.0,0.6080222254525848,0.3655306718741287,10,1.0
dataset_name,RF,LCB,29,1074.6822819709778,0.6425439326967048,0.6425439326967048,0.0,0.32978764025753,0.9296924613323825,10,1.0
dataset_name,RF,LCB,30,1061.5963790416718,0.6633980820823051,0.6633980820823051,0.0,0.19545012995080796,0.9334896660690049,10,1.0
dataset_name,RF,LCB,31,1162.154186964035,0.6530792315623262,0.6530792315623262,0.0,0.09655131409972047,0.9354322055573684,10,1.0
dataset_name,RF,LCB,32,1181.4819660186768,0.6334168259694581,0.6334168259694581,0.0,0.3807859935357168,0.9380665184611207,10,1.0
dataset_name,RF,LCB,33,1187.6369552612305,0.6663118052030388,0.6663118052030388,0.0,0.1394279597916486,0.996750859946465,10,0.98
dataset_name,RF,LCB,34,1296.9124147891998,0.6404861983786265,0.6404861983786265,0.0,0.3196169547717838,0.9787634118657521,10,1.0
dataset_name,RF,LCB,35,1158.4446079730988,0.6817345573612339,0.6817345573612339,0.0,0.12310703073015655,0.9652343156005553,10,0.99
dataset_name,RF,LCB,36,1056.4697089195251,0.6871464303824902,0.6871464303824902,0.0,0.05236474439958801,0.5045144722678522,10,0.98
dataset_name,RF,LCB,37,1090.2350099086761,0.6593600372881606,0.6593600372881606,0.0,0.07171240292471781,0.9927206326611466,10,0.99
dataset_name,RF,LCB,38,1005.1383061408997,0.6613878056816543,0.6613878056816543,0.0,0.02961108166711582,0.506480787038507,10,1.0
