,topics,coherence(c_v),coherence(c_npmi),perplexity,topic_diversity
0,5,0.5905600644932252,0.021752251337625865,-8.133924514712696,1.0
1,10,0.5498250443920012,0.011848464001583427,-8.199112639538297,1.0
2,15,0.5103648678226603,-0.01150528820781294,-8.911146432243541,0.9933333333333333
3,20,0.4726090319065729,-0.02254803610010013,-9.17383693493118,1.0
4,25,0.4270265375370795,-0.044925756735246694,-9.414182132722216,1.0
5,30,0.387934402803493,-0.06374304326040373,-9.68054784723128,1.0
6,50,0.36408838806266597,-0.12906549863343997,-10.671038794853645,1.0
